10.9.0.58 N; 5443071597517987/140737488355328,0/1,0/1; W; 6361135604932809/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.59 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361138695748013/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.60 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361138077584971/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.61 N; 1360767786564033/35184372088832,0/1,0/1; W; 3180568729710965/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.62 N; 1360767786564033/35184372088832,0/1,0/1; W; 3180568420629445/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.63 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361136223095849/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.64 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361135604932807/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.65 N; 2721535347497129/70368744177664,0/1,0/1; W; 6361138695748011/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.66 N; 2721535347497129/70368744177664,0/1,0/1; W; 3180569038792485/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.67 N; 2721535347497129/70368744177664,0/1,0/1; W; 3180568729710965/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.68 N; 2721535347497129/70368744177664,0/1,0/1; W; 6361136841258889/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.69 N; 2721535347497129/70368744177664,0/1,0/1; W; 6361136223095847/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.70 N; 2721535347497129/70368744177664,0/1,0/1; W; 3180567802466403/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.71 N; 5443070243732361/140737488355328,0/1,0/1; W; 3180569347874005/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.72 N; 5443070243732361/140737488355328,0/1,0/1; W; 6361138077584969/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.73 N; 5443070243732361/140737488355328,0/1,0/1; W; 6361137459421929/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.74 N; 5443070243732361/140737488355328,0/1,0/1; W; 6361136841258887/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.75 N; 5443070243732361/140737488355328,0/1,0/1; W; 3180568111547923/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.76 N; 5443070243732361/140737488355328,0/1,0/1; W; 3180567802466403/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.77 N; 340191862029403/8796093022208,0/1,0/1; W; 6361138695748009/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.78 N; 340191862029403/8796093022208,0/1,0/1; W; 795142259698121/8796093022208,0/1,0/1; 0; 604/1; 2
10.9.0.79 N; 340191862029403/8796093022208,0/1,0/1; W; 6361137459421927/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.80 N; 340191862029403/8796093022208,0/1,0/1; W; 3180568420629443/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.81 N; 340191862029403/8796093022208,0/1,0/1; W; 6361136223095845/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.82 N; 340191862029403/8796093022208,0/1,0/1; W; 1590283901233201/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.83 N; 85047958456383/2199023255552,0/1,0/1; W; 6361138695748007/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.84 N; 85047958456383/2199023255552,0/1,0/1; W; 6361138077584967/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.85 N; 85047958456383/2199023255552,0/1,0/1; W; 3180568729710963/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.86 N; 85047958456383/2199023255552,0/1,0/1; W; 6361136841258885/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.87 N; 85047958456383/2199023255552,0/1,0/1; W; 1590284055773961/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.88 N; 85047958456383/2199023255552,0/1,0/1; W; 6361135604932803/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.89 N; 1360767222486639/35184372088832,0/1,0/1; W; 6361138695748007/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.90 N; 1360767222486639/35184372088832,0/1,0/1; W; 3180569038792483/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.91 N; 1360767222486639/35184372088832,0/1,0/1; W; 6361137459421925/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.92 N; 1360767222486639/35184372088832,0/1,0/1; W; 6361136841258883/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.93 N; 1360767222486639/35184372088832,0/1,0/1; W; 6361136223095843/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.94 N; 1360767222486639/35184372088832,0/1,0/1; W; 3180567802466401/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.95 N; 5443068438684581/140737488355328,0/1,0/1; W; 3180569347874003/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.96 N; 5443068438684581/140737488355328,0/1,0/1; W; 6361138077584965/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.97 N; 5443068438684581/140737488355328,0/1,0/1; W; 6361137459421923/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.98 N; 5443068438684581/140737488355328,0/1,0/1; W; 6361136841258883/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.99 N; 5443068438684581/140737488355328,0/1,0/1; W; 3180568111547921/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.100 N; 5443068438684581/140737488355328,0/1,0/1; W; 99392743827075/1099511627776,0/1,0/1; 0; 604/1; 2
10.9.0.101 N; 5443067987422585/140737488355328,0/1,0/1; W; 6361138695748005/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.102 N; 5443067987422585/140737488355328,0/1,0/1; W; 6361138077584963/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.103 N; 5443067987422585/140737488355328,0/1,0/1; W; 3180568729710961/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.104 N; 5443067987422585/140737488355328,0/1,0/1; W; 3180568420629441/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.105 N; 5443067987422585/140737488355328,0/1,0/1; W; 198785506971745/2199023255552,0/1,0/1; 0; 604/1; 2
10.9.0.106 N; 5443067987422585/140737488355328,0/1,0/1; W; 6361135604932799/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.107 N; 680383442020071/17592186044416,0/1,0/1; W; 6361138695748003/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.108 N; 680383442020071/17592186044416,0/1,0/1; W; 3180569038792481/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.109 N; 680383442020071/17592186044416,0/1,0/1; W; 6361137459421921/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.110 N; 680383442020071/17592186044416,0/1,0/1; W; 49696381572335/549755813888,0/1,0/1; 0; 604/1; 2
10.9.0.111 N; 680383442020071/17592186044416,0/1,0/1; W; 6361136223095839/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.112 N; 680383442020071/17592186044416,0/1,0/1; W; 3180567802466399/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.113 N; 5443067084898531/140737488355328,0/1,0/1; W; 3180569347874001/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.114 N; 5443067084898531/140737488355328,0/1,0/1; W; 6361138077584961/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.115 N; 5443067084898531/140737488355328,0/1,0/1; W; 198785545606935/2199023255552,0/1,0/1; 0; 604/1; 2
10.9.0.116 N; 5443067084898531/140737488355328,0/1,0/1; W; 6361136841258879/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.117 N; 5443067084898531/140737488355328,0/1,0/1; W; 3180568111547919/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.118 N; 5443067084898531/140737488355328,0/1,0/1; W; 6361135604932797/70368744177664,0/1,0/1; 0; 604/1; 2
