10.9.0.11 N; 37812254/977683,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.12 N; 37812254/977683,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.13 N; 37812254/977683,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.14 N; 37812254/977683,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.15 N; 37812254/977683,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.16 N; 37812254/977683,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.17 N; 32827924/848807,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.18 N; 32827924/848807,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.19 N; 32827924/848807,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.20 N; 32827924/848807,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.21 N; 32827924/848807,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.22 N; 32827924/848807,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.23 N; 37687481/974457,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.24 N; 37687481/974457,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.25 N; 37687481/974457,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.26 N; 37687481/974457,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.27 N; 37687481/974457,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.28 N; 37687481/974457,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.29 N; 28254905/730566,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.30 N; 28254905/730566,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.31 N; 28254905/730566,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.32 N; 28254905/730566,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.33 N; 28254905/730566,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.34 N; 28254905/730566,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.35 N; 30050909/777004,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.36 N; 30050909/777004,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.37 N; 30050909/777004,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.38 N; 30050909/777004,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.39 N; 30050909/777004,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.40 N; 30050909/777004,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.41 N; 10069129/260350,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.42 N; 10069129/260350,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.43 N; 10069129/260350,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.44 N; 10069129/260350,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.45 N; 10069129/260350,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.46 N; 10069129/260350,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.47 N; 7772431/200966,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.48 N; 7772431/200966,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.49 N; 7772431/200966,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.50 N; 7772431/200966,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.51 N; 7772431/200966,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.52 N; 7772431/200966,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.53 N; 38524632/996103,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.54 N; 38524632/996103,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.55 N; 38524632/996103,0/1,0/1; W; 58434287/646417,0/1,0/1; 0; 604/1; 2
10.9.0.56 N; 38524632/996103,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.57 N; 38524632/996103,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.58 N; 38524632/996103,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.59 N; 37653660/973583,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.60 N; 37653660/973583,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.61 N; 37653660/973583,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.62 N; 37653660/973583,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.63 N; 37653660/973583,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.64 N; 37653660/973583,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.65 N; 37368929/966221,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.66 N; 37368929/966221,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.67 N; 37368929/966221,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.68 N; 37368929/966221,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.69 N; 37368929/966221,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.70 N; 37368929/966221,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.71 N; 28888352/746945,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.72 N; 28888352/746945,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.73 N; 28888352/746945,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.74 N; 28888352/746945,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.75 N; 28888352/746945,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.76 N; 28888352/746945,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.77 N; 10055781/260005,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.78 N; 10055781/260005,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.79 N; 10055781/260005,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.80 N; 10055781/260005,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.81 N; 10055781/260005,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.82 N; 10055781/260005,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.83 N; 30089255/777996,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.84 N; 30089255/777996,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.85 N; 30089255/777996,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.86 N; 30089255/777996,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.87 N; 30089255/777996,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.88 N; 30089255/777996,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.89 N; 20516296/530475,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.90 N; 20516296/530475,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.91 N; 20516296/530475,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.92 N; 20516296/530475,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.93 N; 20516296/530475,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.94 N; 20516296/530475,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.95 N; 20141337/520780,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.96 N; 20141337/520780,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.97 N; 20141337/520780,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.98 N; 20141337/520780,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.99 N; 20141337/520780,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.100 N; 20141337/520780,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.101 N; 21605119/558628,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.102 N; 21605119/558628,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.103 N; 21605119/558628,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.104 N; 21605119/558628,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.105 N; 21605119/558628,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.106 N; 21605119/558628,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.107 N; 32083770/829567,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.108 N; 32083770/829567,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.109 N; 32083770/829567,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.110 N; 32083770/829567,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.111 N; 32083770/829567,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.112 N; 32083770/829567,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.113 N; 28458111/735821,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.114 N; 28458111/735821,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.115 N; 28458111/735821,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.116 N; 28458111/735821,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.117 N; 28458111/735821,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.118 N; 28458111/735821,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.119 N; 10087837/260834,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.120 N; 10087837/260834,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.121 N; 10087837/260834,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.122 N; 10087837/260834,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.123 N; 10087837/260834,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.124 N; 10087837/260834,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.125 N; 7356547/190213,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.126 N; 7356547/190213,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.127 N; 7356547/190213,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.128 N; 7356547/190213,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.129 N; 7356547/190213,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.130 N; 7356547/190213,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.131 N; 6962445/180023,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.132 N; 6962445/180023,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.133 N; 6962445/180023,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.134 N; 6962445/180023,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.135 N; 6962445/180023,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.136 N; 6962445/180023,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.137 N; 28389917/734058,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.138 N; 28389917/734058,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
10.9.0.139 N; 28389917/734058,0/1,0/1; W; 61921359/684992,0/1,0/1; 0; 604/1; 2
10.9.0.140 N; 28389917/734058,0/1,0/1; W; 77917588/861947,0/1,0/1; 0; 604/1; 2
10.9.0.141 N; 28389917/734058,0/1,0/1; W; 77283173/854929,0/1,0/1; 0; 604/1; 2
10.9.0.142 N; 28389917/734058,0/1,0/1; W; 64261091/710875,0/1,0/1; 0; 604/1; 2
10.9.0.143 N; 35721901/923636,0/1,0/1; W; 43148852/477325,0/1,0/1; 0; 604/1; 2
10.9.0.144 N; 35721901/923636,0/1,0/1; W; 4230047/46794,0/1,0/1; 0; 604/1; 2
